0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7569e-29,1.27171e-29,4.30377e-30,1.45616e-30,4.92578e-31,1.6659e-31,5.63289e-32,1.90426e-32,6.43632e-33,2.17503e-33,7.34875e-34,2.48246e-34,8.38448e-35,2.83136e-35,9.55965e-36,3.22714e-36,1.08924e-36,3.67592e-37,1.24034e-37,4.18458e-38,1.41157e-38,4.7609e-39,1.60553e-39,5.41363e-40,1.82517e-40,6.15264e-41,2.07379e-41,6.98903e-42,2.35514e-42,7.93533e-43,2.6734e-43,9.00563e-44,3.03331e-44,1.02158e-44,3.4402e-45,1.15837e-45,3.90005e-46,1.31295e-46,4.41963e-47,1.48758e-47,5.00652e-48,1.68481e-48,5.66926e-49,1.9075e-49,6.41748e-50,2.15887e-50,7.26197e-51,2.44256e-51,8.21489e-52,2.76264e-52,9.28993e-53,3.12369e-53,1.05024e-53,3.53086e-54,1.18697e-54,3.98996e-55,1.34112e-55,4.50749e-56,1.51486e-56,5.09076e-57,1.71066e-57,5.748e-58,1.93127e-58
1.2128e-26,4.23063e-27,1.47478e-27,5.13762e-28,1.78863e-28,6.22312e-29,2.16389e-29,7.5198e-30,2.61174e-30,9.06594e-31,3.14529e-31,1.09064e-31,3.77988e-32,1.30936e-32,4.53343e-33,1.56888e-33,5.4269e-34,1.87637e-34,6.48473e-35,2.24016e-35,7.73543e-36,2.67e-36,9.21222e-37,3.17722e-37,1.09538e-37,3.775e-38,1.30051e-38,4.4787e-39,1.54184e-39,5.30611e-40,1.82544e-40,6.27795e-41,2.15838e-41,7.41822e-42,2.54881e-42,8.75477e-43,3.00623e-43,1.03198e-43,3.54161e-44,1.21508e-44,4.16766e-45,1.4291e-45,4.8991e-46,1.67903e-46,5.75293e-47,1.97066e-47,6.74881e-48,2.31067e-48,7.90944e-49,2.70678e-49,9.26105e-50,3.16789e-50,1.08339e-50,3.70428e-51,1.26628e-51,4.32779e-52,1.47881e-52,5.05207e-53,1.7256e-53,5.89285e-54,2.01199e-54,6.86824e-55,2.34413e-55
1.24767e-24,4.48106e-25,1.60763e-25,5.7614e-26,2.06263e-26,7.37697e-27,2.63578e-27,9.40869e-28,3.35542e-28,1.19556e-28,4.25616e-29,1.51389e-29,5.3803e-30,1.91059e-30,6.77931e-31,2.40363e-31,8.51578e-32,3.01482e-32,1.06657e-32,3.77059e-33,1.33209e-33,4.70294e-34,1.65928e-34,5.85052e-35,2.06157e-35,7.25999e-36,2.55514e-36,8.98752e-37,3.15949e-37,1.11007e-37,3.89804e-38,1.36807e-38,4.79892e-39,1.68249e-39,5.89583e-40,2.06501e-40,7.22915e-41,2.52957e-41,8.84713e-42,3.09286e-42,1.08074e-42,3.7748e-43,1.31788e-43,4.59913e-44,1.60433e-44,5.59414e-45,1.94984e-45,6.79348e-46,2.36602e-46,8.23716e-47,2.86665e-47,9.97267e-48,3.4681e-48,1.20564e-48,4.18976e-49,1.4555e-49,5.05463e-50,1.75477e-50,6.08991e-51,2.11281e-51,7.32777e-52,2.54067e-52,8.80623e-53
6.4813e-23,2.39464e-23,8.83427e-24,3.25441e-24,1.19719e-24,4.39803e-25,1.61353e-25,5.91195e-26,2.16341e-26,7.90702e-27,2.88648e-27,1.05249e-27,3.83331e-28,1.3946e-28,5.06822e-29,1.83994e-29,6.67277e-30,2.41753e-30,8.75011e-31,3.16401e-31,1.14303e-31,4.12552e-32,1.48769e-32,5.36003e-33,1.92953e-33,6.94018e-34,2.49423e-34,8.95681e-35,3.21389e-35,1.15232e-35,4.12849e-36,1.47805e-36,5.28778e-37,1.89039e-37,6.75348e-38,2.41106e-38,8.60203e-39,3.06697e-39,1.0928e-39,3.89131e-40,1.38479e-40,4.92506e-41,1.75057e-41,6.21861e-42,2.20779e-42,7.83392e-43,2.77818e-43,9.84701e-44,3.48833e-44,1.2351e-44,4.37082e-45,1.54598e-45,5.46548e-46,1.93126e-46,6.82091e-47,2.4079e-47,8.49635e-48,2.99659e-48,1.05639e-48,3.72246e-49,1.31113e-49,4.61609e-50,1.62449e-50
2.0792e-21,7.89627e-22,2.99323e-22,1.13259e-22,4.27797e-23,1.6131e-23,6.07241e-24,2.28221e-24,8.56379e-25,3.20854e-25,1.20033e-25,4.4839e-26,1.67261e-26,6.23059e-27,2.3178e-27,8.61089e-28,3.19492e-28,1.18392e-28,4.38181e-29,1.6198e-29,5.98077e-30,2.20574e-30,8.12577e-31,2.99018e-31,1.09916e-31,4.03618e-32,1.48058e-32,5.4257e-33,1.98633e-33,7.26485e-34,2.65455e-34,9.69063e-35,3.53442e-35,1.28795e-35,4.68919e-36,1.70579e-36,6.19996e-37,2.25161e-37,8.17048e-38,2.96249e-38,1.07332e-38,3.88568e-39,1.40566e-39,5.08127e-40,1.83549e-40,6.62553e-41,2.38994e-41,8.61499e-42,3.10334e-42,1.11716e-42,4.01902e-43,1.44493e-43,5.19155e-44,1.86415e-44,6.68956e-45,2.39914e-45,8.59915e-46,3.08038e-46,1.10282e-46,3.94604e-47,1.41116e-47,5.04378e-48,1.80178e-48
4.61473e-20,1.80008e-20,7.00609e-21,2.72098e-21,1.05454e-21,4.07867e-22,1.57439e-22,6.0655e-23,2.33241e-23,8.95254e-24,3.43014e-24,1.31196e-24,5.0095e-25,1.90962e-25,7.26769e-26,2.7616e-26,1.04774e-26,3.96914e-27,1.50141e-27,5.67122e-28,2.13916e-28,8.05777e-29,3.03111e-29,1.13872e-29,4.27244e-30,1.60098e-30,5.99187e-31,2.23982e-31,8.3628e-32,3.1188e-32,1.1618e-32,4.32305e-33,1.60686e-33,5.96622e-34,2.21293e-34,8.19954e-35,3.0351e-35,1.12235e-35,4.14631e-36,1.53032e-36,5.6428e-37,2.07879e-37,7.65127e-38,2.81367e-38,1.03379e-38,3.79512e-39,1.39204e-39,5.10175e-40,1.86825e-40,6.83603e-41,2.49939e-41,9.1312e-42,3.33345e-42,1.216e-42,4.4326e-43,1.61461e-43,5.87719e-44,2.1378e-44,7.77083e-45,2.82275e-45,1.02468e-45,3.71724e-46,1.34763e-46
7.62258e-19,3.05179e-19,1.21871e-19,4.85479e-20,1.92927e-20,7.64889e-21,3.02559e-21,1.19414e-21,4.70285e-22,1.8482e-22,7.24837e-23,2.83701e-23,1.10823e-23,4.32082e-24,1.68149e-24,6.53173e-25,2.53273e-25,9.80383e-26,3.78847e-26,1.46153e-26,5.62923e-27,2.16471e-27,8.31139e-28,3.18631e-28,1.21971e-28,4.66218e-29,1.77953e-29,6.78284e-30,2.58181e-30,9.81421e-31,3.72576e-31,1.41259e-31,5.34892e-32,2.02292e-32,7.64127e-33,2.88293e-33,1.08641e-33,4.08937e-34,1.53755e-34,5.77461e-35,2.16643e-35,8.11903e-36,3.03954e-36,1.13675e-36,4.24703e-37,1.58516e-37,5.9107e-38,2.20185e-38,8.19457e-39,3.04693e-39,1.13189e-39,4.20103e-40,1.55785e-40,5.77188e-41,2.13668e-41,7.9031e-42,2.92076e-42,1.07855e-42,3.97961e-43,1.46722e-43,5.40524e-44,1.98977e-44,7.3192e-45
9.85813e-18,4.04815e-18,1.65758e-18,6.76838e-19,2.75624e-19,1.11945e-19,4.53495e-20,1.83255e-20,7.38716e-21,2.97075e-21,1.19192e-21,4.77139e-22,1.90583e-22,7.59599e-23,3.02114e-23,1.19913e-23,4.74992e-24,1.87782e-24,7.4095e-25,2.91816e-25,1.14718e-25,4.50167e-26,1.76341e-26,6.89582e-27,2.69208e-27,1.04924e-27,4.08281e-28,1.5862e-28,6.15296e-29,2.38315e-29,9.21661e-30,3.55925e-30,1.37254e-30,5.28544e-31,2.03254e-31,7.80572e-32,2.99371e-32,1.14668e-32,4.38654e-33,1.67593e-33,6.39523e-34,2.43742e-34,9.27878e-35,3.52813e-35,1.33998e-35,5.08354e-36,1.92643e-36,7.29232e-37,2.75749e-37,1.04161e-37,3.93051e-38,1.48166e-38,5.57976e-39,2.0992e-39,7.88991e-40,2.96262e-40,1.1114e-40,4.16549e-41,1.55979e-41,5.83548e-42,2.18124e-42,8.14619e-43,3.03972e-43
1.03608e-16,4.36097e-17,1.82978e-17,7.65383e-18,3.19196e-18,1.3273e-18,5.50362e-19,2.27574e-19,9.38481e-20,3.85997e-20,1.58353e-20,6.48008e-21,2.64528e-21,1.07727e-21,4.37687e-22,1.77424e-22,7.1762e-23,2.89621e-23,1.16638e-23,4.68757e-24,1.88005e-24,7.52534e-25,3.00632e-25,1.19871e-25,4.77071e-26,1.89521e-26,7.51536e-27,2.97496e-27,1.17561e-27,4.63782e-28,1.82661e-28,7.18243e-29,2.81973e-29,1.10526e-29,4.32571e-30,1.69043e-30,6.59626e-31,2.57021e-31,1.00005e-31,3.88571e-32,1.50773e-32,5.84239e-33,2.26091e-33,8.73801e-34,3.37277e-34,1.30022e-34,5.00621e-35,1.9252e-35,7.39476e-36,2.83702e-36,1.08718e-36,4.16145e-37,1.59113e-37,6.07697e-38,2.31846e-38,8.83589e-39,3.36392e-39,1.27936e-39,4.86071e-40,1.8449e-40,6.99547e-41,2.64997e-41,1.00288e-41
