h,tau,error
0.03125,3.05176e-05,0.361969
0.015625,3.05176e-05,0.476957
0.0078125,3.05176e-05,0.511411
0.00390625,3.05176e-05,0.469875
0.00195312,3.05176e-05,0.43783
0.000976562,3.05176e-05,0.384846
0.000488281,3.05176e-05,0.368916
0.000244141,3.05176e-05,0.367944
0.00012207,3.05176e-05,0.367883
