h,tau,error
0.03125,0.03125,0.00220261
0.015625,0.015625,0.00021665
0.0078125,0.0078125,4.24298e-06
0.00390625,0.00390625,6.57436e-09
0.00195312,0.00195312,6.67646e-14
0.000976562,0.000976562,1.35564e-22
0.000488281,0.000488281,1.54204e-38
0.000244141,0.000244141,3.07023e-68
0.00012207,0.00012207,1.46023e-124
6.10352e-05,6.10352e-05,7.39616e-233
3.05176e-05,3.05176e-05,0
