0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30342e-19,1.60016e-10,1.25533e-07,3.51316e-06,2.5916e-05,9.81521e-05,0.000253966,0.000517892,0.000901068,0.00140285,0.00201446,0.00272254,0.00351183,0.00436691,0.00527322,0.00621765,0.00718869,0.00817645,0.00917258,0.0101701,0.0111634,0.0121476,0.0131191,0.0140748,0.0150124,0.01593,0.0168262,0.0177001,0.0185509,0.0193781,0.0201816,0.0209611,0.0217168,0.0224488,0.0231574,0.0238427,0.0245052,0.0251453,0.0257633,0.0263597,0.026935,0.0274896,0.0280239,0.0285384,0.0290336,0.02951,0.0299678,0.0304076,0.0308298,0.0312348,0.031623,0.0319947,0.0323502,0.0326901,0.0330144,0.0333237,0.0336182,0.0338981,0.0341637,0.0344154,0.0346533,0.0348776,0.0350887,0.0352866,0.0354716,0.0356439,0.0358036,0.0359508,0.0360858,0.0362086,0.0363194,0.0364182,0.0365052,0.0365804,0.036644,0.0366959,0.0367362,0.0367649,0.0367822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52528e-20,3.1608e-11,2.48388e-08,7.27054e-07,6.07206e-06,2.70031e-05,8.22297e-05,0.000194828,0.000386865,0.000674889,0.00106771,0.00156638,0.0021656,0.00285566,0.00362431,0.00445831,0.00534452,0.0062706,0.0072254,0.00819913,0.00918334,0.0101709,0.0111559,0.0121334,0.0130994,0.0140508,0.0149849,0.0158999,0.0167941,0.0176666,0.0185163,0.019343,0.0201461,0.0209255,0.0216813,0.0224135,0.0231224,0.0238082,0.0244712,0.0251118,0.0257305,0.0263276,0.0269035,0.0274587,0.0279938,0.028509,0.0290049,0.0294818,0.0299403,0.0303808,0.0308036,0.0312092,0.0315979,0.0319701,0.0323262,0.0326666,0.0329914,0.0333012,0.0335961,0.0338764,0.0341424,0.0343945,0.0346327,0.0348574,0.0350688,0.035267,0.0354523,0.0356248,0.0357848,0.0359322,0.0360674,0.0361904,0.0363014,0.0364003,0.0364875,0.0365628,0.0366264,0.0366784,0.0367188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28894e-20,6.24356e-12,4.91476e-09,1.50165e-07,1.39636e-06,7.09639e-06,2.4796e-05,6.702e-05,0.000150281,0.000292592,0.000510463,0.000816401,0.00121749,0.00171515,0.00230576,0.00298186,0.00373342,0.00454904,0.00541697,0.0063258,0.00726492,0.00822478,0.00919701,0.0101744,0.0111509,0.0121213,0.0130816,0.0140284,0.0149589,0.015871,0.016763,0.0176338,0.0184825,0.0193083,0.020111,0.0208902,0.021646,0.0223784,0.0230876,0.0237738,0.0244373,0.0250785,0.0256977,0.0262954,0.026872,0.0274279,0.0279636,0.0284795,0.0289761,0.0294537,0.0299128,0.0303539,0.0307773,0.0311835,0.0315728,0.0319456,0.0323022,0.032643,0.0329684,0.0332786,0.0335739,0.0338547,0.0341211,0.0343735,0.0346122,0.0348372,0.0350489,0.0352474,0.035433,0.0356058,0.0357659,0.0359136,0.036049,0.0361722,0.0362833,0.0363824,0.0364697,0.0365452,0.0366089
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54606e-21,1.2333e-12,9.72461e-10,3.09579e-08,3.16454e-07,1.8032e-06,7.09585e-06,2.1544e-05,5.39432e-05,0.000116387,0.000223156,0.000388941,0.000626885,0.000946971,0.00135503,0.00185247,0.00243663,0.00310148,0.00383862,0.00463816,0.00548958,0.00638237,0.00730655,0.00825292,0.00921326,0.0101804,0.0111482,0.0121114,0.0130657,0.0140076,0.0149342,0.0158432,0.0167329,0.0176019,0.0184493,0.0192742,0.0200763,0.0208553,0.021611,0.0223435,0.023053,0.0237396,0.0244035,0.0250452,0.0256651,0.0262634,0.0268406,0.0273972,0.0279335,0.02845,0.0289472,0.0294255,0.0298853,0.030327,0.030751,0.0311578,0.0315476,0.031921,0.0322781,0.0326195,0.0329453,0.033256,0.0335518,0.0338329,0.0340998,0.0343526,0.0345916,0.0348169,0.0350289,0.0352278,0.0354136,0.0355867,0.0357471,0.035895,0.0360306,0.036154,0.0362652,0.0363645,0.0364519
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02926e-22,2.43614e-13,1.92416e-10,6.37154e-09,7.08766e-08,4.46471e-07,1.95063e-06,6.56923e-06,1.81793e-05,4.31329e-05,9.04205e-05,0.000171245,0.000298042,0.000483144,0.000737412,0.00106908,0.00148304,0.00198059,0.00255961,0.00321512,0.00393989,0.00472524,0.00556171,0.00643965,0.0073497,0.00828306,0.00923175,0.0101887,0.0111477,0.0121034,0.0130515,0.0139884,0.0149108,0.0158166,0.0167038,0.0175709,0.0184168,0.0192407,0.0200422,0.0208208,0.0215764,0.0223089,0.0230186,0.0237055,0.0243699,0.0250121,0.0256325,0.0262314,0.0268092,0.0273664,0.0279034,0.0284206,0.0289184,0.0293973,0.0298578,0.0303001,0.0307247,0.031132,0.0315225,0.0318963,0.032254,0.0325959,0.0329222,0.0332333,0.0335296,0.0338112,0.0340784,0.0343316,0.0345709,0.0347966,0.0350089,0.0352081,0.0353942,0.0355675,0.0357282,0.0358763,0.0360121,0.0361357,0.0362471
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93434e-23,4.81213e-14,3.80722e-11,1.30931e-09,1.57207e-08,1.08285e-07,5.19404e-07,1.92029e-06,5.82093e-06,1.50767e-05,3.43606e-05,7.04279e-05,0.000132031,0.000229429,0.000373557,0.000574989,0.00084292,0.0011843,0.0016033,0.00210106,0.00267584,0.00332337,0.00403735,0.00481006,0.00563296,0.00649716,0.00739389,0.00831478,0.00925212,0.010199,0.0111491,0.0120974,0.0130392,0.0139707,0.0148889,0.0157913,0.0166757,0.0175407,0.018385,0.0192078,0.0200085,0.0207867,0.021542,0.0222746,0.0229844,0.0236716,0.0243364,0.024979,0.0255999,0.0261994,0.0267778,0.0273357,0.0278733,0.0283911,0.0288896,0.0293692,0.0298302,0.0302731,0.0306984,0.0311063,0.0314973,0.0318717,0.0322299,0.0325723,0.0328991,0.0332107,0.0335073,0.0337894,0.034057,0.0343106,0.0345502,0.0347763,0.0349889,0.0351884,0.0353748,0.0355484,0.0357093,0.0358576,0.0359936
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96234e-23,9.50544e-15,7.53312e-12,2.68666e-10,3.45852e-09,2.58231e-08,1.34763e-07,5.42294e-07,1.78681e-06,5.01866e-06,1.23663e-05,2.73123e-05,5.49738e-05,0.00010218,0.000177273,0.000289629,0.000448952,0.000664455,0.000944058,0.00129373,0.00171706,0.00221505,0.00278621,0.00342678,0.00413121,0.00489258,0.00570309,0.00655455,0.00743875,0.00834773,0.00927408,0.010211,0.0111525,0.0120931,0.0130285,0.0139546,0.0148684,0.0157671,0.0166487,0.0175114,0.018354,0.0191756,0.0199754,0.020753,0.0215081,0.0222406,0.0229505,0.0236379,0.024303,0.0249461,0.0255675,0.0261675,0.0267465,0.027305,0.0278432,0.0283617,0.0288608,0.029341,0.0298026,0.0302462,0.030672,0.0310805,0.031472,0.031847,0.0322058,0.0325486,0.0328759,0.033188,0.0334851,0.0337675,0.0340356,0.0342895,0.0345296,0.0347559,0.0349689,0.0351686,0.0353553,0.0355292,0.0356903
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87623e-24,1.87762e-15,1.49053e-12,5.5056e-11,7.55579e-10,6.07181e-09,3.422e-08,1.4881e-07,5.29441e-07,1.60305e-06,4.24878e-06,1.0068e-05,2.16814e-05,4.29899e-05,7.93215e-05,0.000137401,0.000225103,0.000351008,0.000523799,0.000751598,0.00104133,0.00139818,0.00182526,0.00232345,0.00289142,0.00352584,0.00422172,0.0049728,0.00577196,0.00661159,0.00748399,0.00838163,0.00929737,0.0102246,0.0111574,0.0120906,0.0130194,0.01394,0.0148492,0.0157441,0.0166227,0.017483,0.0183238,0.019144,0.0199428,0.0207198,0.0214745,0.0222068,0.0229168,0.0236044,0.0242698,0.0249133,0.0255351,0.0261357,0.0267153,0.0272743,0.0278131,0.0283322,0.028832,0.0293128,0.029775,0.0302192,0.0306456,0.0310547,0.0314468,0.0318223,0.0321816,0.0325249,0.0328527,0.0331652,0.0334628,0.0337456,0.0340141,0.0342684,0.0345088,0.0347356,0.0349488,0.0351489,0.0353358
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65674e-25,3.70887e-16,2.9492e-13,1.12682e-11,1.64078e-10,1.41067e-09,8.53269e-09,3.98552e-08,1.5224e-07,4.94314e-07,1.40266e-06,3.55146e-06,8.15428e-06,1.71983e-05,3.36721e-05,6.17357e-05,0.000106778,0.000175325,0.000274778,0.000413008,0.000597842,0.00083651,0.00113513,0.00149825,0.00192861,0.00242695,0.00299206,0.00362095,0.00430911,0.00505081,0.00583949,0.00666809,0.00752938,0.00841622,0.00932174,0.0102396,0.0111639,0.0120895,0.0130118,0.0139268,0.0148313,0.0157223,0.0165977,0.0174555,0.0182944,0.0191131,0.0199108,0.020687,0.0214413,0.0221734,0.0228833,0.0235711,0.0242367,0.0248806,0.0255029,0.0261039,0.0266841,0.0272437,0.0277831,0.0283028,0.0288032,0.0292846,0.0297474,0.0301922,0.0306192,0.0310288,0.0314215,0.0317976,0.0321574,0.0325012,0.0328295,0.0331425,0.0334405,0.0337237,0.0339926,0.0342473,0.0344881,0.0347151,0.0349287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51244e-25,7.32617e-17,5.83534e-14,2.30358e-12,3.5443e-11,3.24382e-10,2.09469e-09,1.04545e-08,4.26625e-08,1.47862e-07,4.47299e-07,1.20554e-06,2.94129e-06,6.57965e-06,1.36364e-05,2.6411e-05,4.81541e-05,8.31692e-05,0.000136811,0.000215358,0.000325756,0.000475247,0.000670931,0.000919295,0.00122578,0.00159444,0.00202767,0.00252609,0.00308861,0.00371248,0.00439359,0.00512667,0.00590565,0.00672395,0.00757477,0.00845131,0.00934701,0.0102557,0.0111717,0.0120898,0.0130056,0.013915,0.0148147,0.0157017,0.0165738,0.017429,0.0182657,0.0190829,0.0198794,0.0206548,0.0214085,0.0221404,0.0228502,0.023538,0.0242039,0.0248481,0.0254708,0.0260723,0.0266529,0.0272131,0.0277531,0.0282734,0.0287743,0.0292564,0.0297198,0.0301652,0.0305928,0.031003,0.0313962,0.0317728,0.0321331,0.0324775,0.0328062,0.0331197,0.0334181,0.0337018,0.0339711,0.0342262,0.0344673
