h,tau,error
0.03125,0.03125,0.0920141
0.015625,0.015625,0.0889874
0.0078125,0.0078125,0.0739876
0.00390625,0.00390625,0.0478087
0.00195312,0.00195312,0.0235376
0.000976562,0.000976562,0.00807233
0.000488281,0.000488281,0.00159315
0.000244141,0.000244141,0.000128274
0.00012207,0.00012207,2.27415e-06
6.10352e-05,6.10352e-05,2.8775e-09
3.05176e-05,3.05176e-05,3.18319e-14
