h,tau,error
0.125,0.125,0.0301528
0.0625,0.0625,0.016135
0.03125,0.03125,0.00723412
0.015625,0.015625,0.00269861
0.0078125,0.0078125,0.000836945
0.00390625,0.00390625,0.000230278
0.00195312,0.00195312,5.94508e-05
0.000976562,0.000976562,1.50358e-05
0.000488281,0.000488281,3.77182e-06
0.000244141,0.000244141,9.44e-07
0.00012207,0.00012207,2.36087e-07
6.10352e-05,6.10352e-05,5.90296e-08
3.05176e-05,3.05176e-05,1.47582e-08
1.52588e-05,1.52588e-05,3.68965e-09
