x,y
26,-1.88343e-10
26.1,-2.03397e-10
26.2,-2.16279e-10
26.3,-2.26883e-10
26.4,-2.35125e-10
26.5,-2.40948e-10
26.6,-2.44318e-10
26.7,-2.45225e-10
26.8,-2.43685e-10
26.9,-2.39737e-10
27,-2.33446e-10
27.1,-2.24896e-10
27.2,-2.14195e-10
27.3,-2.01472e-10
27.4,-1.86871e-10
27.5,-1.70559e-10
27.6,-1.52713e-10
27.7,-1.33526e-10
27.8,-1.13203e-10
27.9,-9.19562e-11
28,-7.00068e-11
28.1,-4.75799e-11
28.2,-2.49031e-11
28.3,-2.20429e-12
28.4,2.02905e-11
28.5,4.23598e-11
28.6,6.37884e-11
28.7,8.43695e-11
28.8,1.03907e-10
28.9,1.22217e-10
29,1.3913e-10
29.1,1.54491e-10
29.2,1.68164e-10
29.3,1.80029e-10
29.4,1.89986e-10
29.5,1.97954e-10
29.6,2.03876e-10
29.7,2.07712e-10
29.8,2.09444e-10
29.9,2.09077e-10
30,2.06635e-10
30.1,2.02164e-10
30.2,1.95726e-10
30.3,1.87407e-10
30.4,1.77307e-10
30.5,1.65545e-10
30.6,1.52255e-10
30.7,1.37583e-10
30.8,1.21689e-10
30.9,1.04743e-10
31,8.69247e-11
31.1,6.84194e-11
31.2,4.94181e-11
31.3,3.01145e-11
31.4,1.07036e-11
31.5,-8.62062e-12
31.6,-2.76668e-11
31.7,-4.62485e-11
31.8,-6.41854e-11
31.9,-8.13057e-11
32,-9.74474e-11
32.1,-1.1246e-10
32.2,-1.26204e-10
32.3,-1.38558e-10
32.4,-1.49411e-10
32.5,-1.5867e-10
32.6,-1.6626e-10
32.7,-1.72121e-10
32.8,-1.76213e-10
32.9,-1.78513e-10
33,-1.79014e-10
33.1,-1.77731e-10
33.2,-1.74694e-10
33.3,-1.6995e-10
33.4,-1.63564e-10
33.5,-1.55615e-10
33.6,-1.46198e-10
33.7,-1.35421e-10
33.8,-1.23406e-10
33.9,-1.10282e-10
34,-9.61935e-11
34.1,-8.12884e-11
34.2,-6.57235e-11
34.3,-4.966e-11
34.4,-3.32626e-11
34.5,-1.66977e-11
34.6,-1.31634e-13
34.7,1.62709e-11
34.8,3.23485e-11
34.9,4.79445e-11
35,6.29087e-11
35.1,7.70985e-11
35.2,9.03806e-11
35.3,1.02632e-10
35.4,1.13741e-10
35.5,1.23609e-10
35.6,1.3215e-10
35.7,1.39292e-10
35.8,1.44978e-10
35.9,1.49166e-10
36,1.51829e-10
36.1,1.52957e-10
36.2,1.52552e-10
36.3,1.50635e-10
36.4,1.4724e-10
36.5,1.42414e-10
36.6,1.36221e-10
36.7,1.28735e-10
36.8,1.20043e-10
36.9,1.10245e-10
37,9.94476e-11
37.1,8.77694e-11
37.2,7.53347e-11
37.3,6.22748e-11
37.4,4.87257e-11
37.5,3.4827e-11
37.6,2.07203e-11
37.7,6.548e-12
37.8,-7.54837e-12
37.9,-2.14294e-11
38,-3.49593e-11
38.1,-4.80071e-11
38.2,-6.04477e-11
38.3,-7.21635e-11
38.4,-8.30454e-11
38.5,-9.29933e-11
38.6,-1.01918e-10
38.7,-1.0974e-10
38.8,-1.16394e-10
38.9,-1.21824e-10
39,-1.25989e-10
39.1,-1.2886e-10
39.2,-1.30421e-10
39.3,-1.3067e-10
39.4,-1.29618e-10
39.5,-1.27287e-10
39.6,-1.23714e-10
39.7,-1.18947e-10
39.8,-1.13044e-10
39.9,-1.06077e-10
40,-9.81238e-11
40.1,-8.92746e-11
40.2,-7.96258e-11
40.3,-6.92814e-11
40.4,-5.83512e-11
40.5,-4.69496e-11
40.6,-3.51946e-11
40.7,-2.32068e-11
40.8,-1.11075e-11
40.9,9.81864e-13
41,1.29412e-11
41.1,2.46528e-11
41.2,3.60028e-11
41.3,4.68819e-11
41.4,5.71867e-11
41.5,6.68204e-11
41.6,7.5694e-11
41.7,8.37267e-11
41.8,9.0847e-11
41.9,9.69934e-11
42,1.02114e-10
42.1,1.06169e-10
42.2,1.09128e-10
42.3,1.10972e-10
42.4,1.11695e-10
42.5,1.113e-10
42.6,1.09803e-10
42.7,1.07229e-10
42.8,1.03614e-10
42.9,9.90055e-11
43,9.34583e-11
43.1,8.70371e-11
43.2,7.98146e-11
43.3,7.18704e-11
43.4,6.32907e-11
43.5,5.41671e-11
43.6,4.45958e-11
43.7,3.46764e-11
43.8,2.4511e-11
43.9,1.42029e-11
44,3.8563e-12
44.1,-6.42573e-12
44.2,-1.65416e-11
44.3,-2.63923e-11
44.4,-3.58826e-11
44.5,-4.49218e-11
44.6,-5.34244e-11
44.7,-6.13113e-11
44.8,-6.85101e-11
44.9,-7.49562e-11
45,-8.05929e-11
45.1,-8.53723e-11
45.2,-8.92554e-11
45.3,-9.22125e-11
45.4,-9.42234e-11
45.5,-9.52776e-11
45.6,-9.5374e-11
45.7,-9.45213e-11
45.8,-9.27373e-11
45.9,-9.00491e-11
46,-8.64923e-11
46.1,-8.21111e-11
46.2,-7.69572e-11
46.3,-7.10894e-11
46.4,-6.45732e-11
46.5,-5.74799e-11
46.6,-4.98857e-11
46.7,-4.18711e-11
46.8,-3.352e-11
46.9,-2.49188e-11
47,-1.61553e-11
47.1,-7.31851e-12
47.2,1.50316e-12
47.3,1.02221e-11
47.4,1.87527e-11
47.5,2.70119e-11
47.6,3.49204e-11
47.7,4.24031e-11
47.8,4.93897e-11
47.9,5.58158e-11
48,6.1623e-11
48.1,6.67598e-11
48.2,7.11818e-11
48.3,7.48521e-11
48.4,7.77417e-11
