x,y
0.32,-0.622872
0.321,-0.621494
0.322,-0.620115
0.323,-0.618735
0.324,-0.617353
0.325,-0.615969
0.326,-0.614585
0.327,-0.613199
0.328,-0.611811
0.329,-0.610422
0.33,-0.609032
0.331,-0.60764
0.332,-0.606247
0.333,-0.604853
0.334,-0.603457
0.335,-0.60206
0.336,-0.600661
0.337,-0.599261
0.338,-0.597859
0.339,-0.596457
0.34,-0.595052
0.341,-0.593647
0.342,-0.59224
0.343,-0.590831
0.344,-0.589421
0.345,-0.58801
0.346,-0.586597
0.347,-0.585183
0.348,-0.583768
0.349,-0.582351
0.35,-0.580932
0.351,-0.579513
0.352,-0.578091
0.353,-0.576669
0.354,-0.575245
0.355,-0.573819
0.356,-0.572392
0.357,-0.570964
0.358,-0.569534
0.359,-0.568103
0.36,-0.566671
0.361,-0.565237
0.362,-0.563801
0.363,-0.562364
0.364,-0.560926
0.365,-0.559486
0.366,-0.558045
0.367,-0.556602
0.368,-0.555158
0.369,-0.553712
0.37,-0.552265
0.371,-0.550817
0.372,-0.549367
0.373,-0.547916
0.374,-0.546463
0.375,-0.545009
0.376,-0.543553
0.377,-0.542096
0.378,-0.540637
0.379,-0.539177
0.38,-0.537715
0.381,-0.536252
0.382,-0.534788
0.383,-0.533322
0.384,-0.531855
0.385,-0.530386
0.386,-0.528915
0.387,-0.527444
0.388,-0.52597
0.389,-0.524495
0.39,-0.523019
0.391,-0.521541
0.392,-0.520062
0.393,-0.518582
0.394,-0.517099
0.395,-0.515616
0.396,-0.514131
0.397,-0.512644
0.398,-0.511156
0.399,-0.509666
0.4,-0.508175
0.401,-0.506683
0.402,-0.505189
0.403,-0.503693
0.404,-0.502196
0.405,-0.500697
0.406,-0.499197
0.407,-0.497696
0.408,-0.496193
0.409,-0.494688
0.41,-0.493182
0.411,-0.491675
0.412,-0.490166
0.413,-0.488655
0.414,-0.487143
0.415,-0.485629
0.416,-0.484114
0.417,-0.482597
0.418,-0.481079
0.419,-0.47956
0.42,-0.478038
0.421,-0.476516
0.422,-0.474991
0.423,-0.473466
0.424,-0.471938
0.425,-0.47041
0.426,-0.468879
0.427,-0.467347
0.428,-0.465814
0.429,-0.464279
0.43,-0.462742
0.431,-0.461204
0.432,-0.459665
0.433,-0.458124
0.434,-0.456581
0.435,-0.455037
0.436,-0.453491
0.437,-0.451944
0.438,-0.450395
0.439,-0.448845
0.44,-0.447293
0.441,-0.445739
0.442,-0.444184
0.443,-0.442628
0.444,-0.44107
0.445,-0.43951
0.446,-0.437949
0.447,-0.436386
0.448,-0.434821
0.449,-0.433255
0.45,-0.431688
0.451,-0.430119
0.452,-0.428548
0.453,-0.426976
0.454,-0.425402
0.455,-0.423827
0.456,-0.42225
0.457,-0.420671
0.458,-0.419091
0.459,-0.417509
0.46,-0.415926
0.461,-0.414341
0.462,-0.412755
0.463,-0.411167
0.464,-0.409577
0.465,-0.407986
0.466,-0.406393
0.467,-0.404799
0.468,-0.403203
0.469,-0.401605
0.47,-0.400006
0.471,-0.398405
0.472,-0.396803
0.473,-0.395199
0.474,-0.393593
0.475,-0.391986
0.476,-0.390377
0.477,-0.388767
0.478,-0.387155
0.479,-0.385541
0.48,-0.383926
0.481,-0.382309
0.482,-0.38069
0.483,-0.37907
0.484,-0.377448
0.485,-0.375825
0.486,-0.3742
0.487,-0.372573
