x,y
1.324,-2.20468
1.328,-2.21244
1.332,-2.22015
1.336,-2.2278
1.34,-2.23539
1.344,-2.24292
1.348,-2.2504
1.352,-2.25782
1.356,-2.26518
1.36,-2.27248
1.364,-2.27973
1.368,-2.28692
1.372,-2.29404
1.376,-2.30111
1.38,-2.30812
1.384,-2.31507
1.388,-2.32196
1.392,-2.32879
1.396,-2.33556
1.4,-2.34227
1.404,-2.34892
1.408,-2.35551
1.412,-2.36204
1.416,-2.36851
1.42,-2.37492
1.424,-2.38126
1.428,-2.38755
1.432,-2.39377
1.436,-2.39993
1.44,-2.40603
1.444,-2.41207
1.448,-2.41805
1.452,-2.42396
1.456,-2.42981
1.46,-2.4356
1.464,-2.44133
1.468,-2.44699
1.472,-2.4526
1.476,-2.45814
1.48,-2.46361
1.484,-2.46903
1.488,-2.47438
1.492,-2.47966
1.496,-2.48489
1.5,-2.49005
1.504,-2.49515
1.508,-2.50018
1.512,-2.50515
1.516,-2.51006
1.52,-2.5149
1.524,-2.51968
1.528,-2.5244
1.532,-2.52905
1.536,-2.53364
1.54,-2.53816
1.544,-2.54262
1.548,-2.54702
1.552,-2.55135
1.556,-2.55562
1.56,-2.55983
1.564,-2.56397
1.568,-2.56804
1.572,-2.57206
1.576,-2.57601
1.58,-2.57989
1.584,-2.58371
1.588,-2.58747
1.592,-2.59116
1.596,-2.59479
1.6,-2.59836
1.604,-2.60186
1.608,-2.60529
1.612,-2.60867
1.616,-2.61198
1.62,-2.61522
1.624,-2.61841
1.628,-2.62153
1.632,-2.62458
1.636,-2.62757
1.64,-2.6305
1.644,-2.63336
1.648,-2.63617
1.652,-2.6389
1.656,-2.64158
1.66,-2.64419
1.664,-2.64674
1.668,-2.64923
1.672,-2.65165
1.676,-2.65401
1.68,-2.65631
1.684,-2.65854
1.688,-2.66072
1.692,-2.66283
1.696,-2.66488
1.7,-2.66686
1.704,-2.66879
1.708,-2.67065
1.712,-2.67245
1.716,-2.67419
1.72,-2.67587
1.724,-2.67749
1.728,-2.67904
1.732,-2.68054
1.736,-2.68197
1.74,-2.68335
1.744,-2.68466
1.748,-2.68592
1.752,-2.68711
1.756,-2.68824
1.76,-2.68932
1.764,-2.69033
1.768,-2.69129
1.772,-2.69218
1.776,-2.69302
1.78,-2.6938
1.784,-2.69452
1.788,-2.69518
1.792,-2.69579
1.796,-2.69633
1.8,-2.69682
1.804,-2.69725
1.808,-2.69763
1.812,-2.69794
1.816,-2.6982
1.82,-2.69841
1.824,-2.69856
1.828,-2.69865
1.832,-2.69868
1.836,-2.69866
1.84,-2.69859
1.844,-2.69846
1.848,-2.69827
1.852,-2.69804
1.856,-2.69774
1.86,-2.6974
1.864,-2.697
1.868,-2.69654
1.872,-2.69604
1.876,-2.69548
1.88,-2.69486
1.884,-2.6942
1.888,-2.69348
1.892,-2.69272
1.896,-2.6919
1.9,-2.69103
1.904,-2.69011
1.908,-2.68914
1.912,-2.68812
1.916,-2.68705
1.92,-2.68593
1.924,-2.68476
1.928,-2.68354
1.932,-2.68227
1.936,-2.68096
1.94,-2.6796
1.944,-2.67819
1.948,-2.67674
1.952,-2.67523
1.956,-2.67368
1.96,-2.67209
1.964,-2.67045
1.968,-2.66876
1.972,-2.66703
1.976,-2.66526
1.98,-2.66344
1.984,-2.66158
1.988,-2.65967
1.992,-2.65772
1.996,-2.65573
2,-2.6537
2.004,-2.65162
2.008,-2.64951
2.012,-2.64735
2.016,-2.64515
2.02,-2.64291
2.024,-2.64063
2.028,-2.63831
2.032,-2.63596
2.036,-2.63356
2.04,-2.63112
2.044,-2.62865
2.048,-2.62614
2.052,-2.6236
2.056,-2.62101
2.06,-2.61839
2.064,-2.61574
2.068,-2.61305
2.072,-2.61032
2.076,-2.60756
2.08,-2.60477
2.084,-2.60194
2.088,-2.59908
2.092,-2.59619
2.096,-2.59326
2.1,-2.59031
2.104,-2.58732
2.108,-2.5843
2.112,-2.58125
2.116,-2.57817
2.12,-2.57506
2.124,-2.57192
2.128,-2.56875
2.132,-2.56556
2.136,-2.56233
2.14,-2.55908
2.144,-2.55581
2.148,-2.5525
2.152,-2.54917
2.156,-2.54582
2.16,-2.54244
2.164,-2.53903
2.168,-2.5356
2.172,-2.53215
2.176,-2.52868
2.18,-2.52518
2.184,-2.52166
2.188,-2.51812
2.192,-2.51456
2.196,-2.51097
2.2,-2.50737
2.204,-2.50375
2.208,-2.5001
2.212,-2.49644
2.216,-2.49276
2.22,-2.48907
2.224,-2.48535
2.228,-2.48162
2.232,-2.47788
2.236,-2.47411
2.24,-2.47033
2.244,-2.46654
2.248,-2.46274
2.252,-2.45891
2.256,-2.45508
2.26,-2.45123
2.264,-2.44737
2.268,-2.4435
2.272,-2.43962
2.276,-2.43573
2.28,-2.43183
2.284,-2.42791
2.288,-2.42399
2.292,-2.42006
2.296,-2.41612
2.3,-2.41218
2.304,-2.40822
2.308,-2.40426
2.312,-2.4003
2.316,-2.39633
2.32,-2.39235
2.324,-2.38837
2.328,-2.38438
2.332,-2.38039
2.336,-2.3764
2.34,-2.3724
2.344,-2.36841
2.348,-2.36441
2.352,-2.36041
2.356,-2.35641
2.36,-2.35241
2.364,-2.34841
2.368,-2.34441
2.372,-2.34041
2.376,-2.33641
2.38,-2.33242
2.384,-2.32843
2.388,-2.32445
2.392,-2.32046
2.396,-2.31649
2.4,-2.31251
2.404,-2.30855
2.408,-2.30459
2.412,-2.30063
2.416,-2.29668
2.42,-2.29274
2.424,-2.28881
2.428,-2.28489
2.432,-2.28098
2.436,-2.27707
2.44,-2.27318
2.444,-2.2693
2.448,-2.26542
2.452,-2.26156
2.456,-2.25772
2.46,-2.25388
2.464,-2.25006
2.468,-2.24625
2.472,-2.24246
2.476,-2.23868
2.48,-2.23491
2.484,-2.23116
2.488,-2.22743
2.492,-2.22372
2.496,-2.22002
2.5,-2.21634
2.504,-2.21267
2.508,-2.20903
2.512,-2.20541
2.516,-2.2018
2.52,-2.19821
2.524,-2.19465
2.528,-2.19111
2.532,-2.18758
2.536,-2.18408
2.54,-2.18061
2.544,-2.17715
2.548,-2.17372
2.552,-2.17031
2.556,-2.16693
2.56,-2.16357
2.564,-2.16024
2.568,-2.15694
2.572,-2.15366
2.576,-2.1504
2.58,-2.14718
2.584,-2.14398
2.588,-2.14081
2.592,-2.13767
2.596,-2.13455
2.6,-2.13147
2.604,-2.12842
2.608,-2.12539
2.612,-2.1224
2.616,-2.11944
2.62,-2.11651
2.624,-2.11362
2.628,-2.11075
2.632,-2.10792
2.636,-2.10513
2.64,-2.10236
2.644,-2.09963
2.648,-2.09694
2.652,-2.09428
2.656,-2.09166
2.66,-2.08907
2.664,-2.08652
2.668,-2.08401
2.672,-2.08153
2.676,-2.07909
2.68,-2.07669
2.684,-2.07433
2.688,-2.07201
2.692,-2.06973
2.696,-2.06748
2.7,-2.06528
2.704,-2.06312
2.708,-2.061
2.712,-2.05892
2.716,-2.05688
2.72,-2.05488
2.724,-2.05293
2.728,-2.05102
2.732,-2.04915
2.736,-2.04733
2.74,-2.04555
2.744,-2.04382
2.748,-2.04213
2.752,-2.04048
2.756,-2.03888
2.76,-2.03733
2.764,-2.03582
2.768,-2.03436
2.772,-2.03295
2.776,-2.03158
2.78,-2.03026
2.784,-2.02899
2.788,-2.02777
2.792,-2.0266
2.796,-2.02547
2.8,-2.0244
2.804,-2.02337
2.808,-2.0224
2.812,-2.02147
2.816,-2.0206
2.82,-2.01977
2.824,-2.019
2.828,-2.01828
2.832,-2.01761
2.836,-2.01699
2.84,-2.01643
2.844,-2.01591
2.848,-2.01545
2.852,-2.01505
2.856,-2.0147
2.86,-2.0144
2.864,-2.01415
2.868,-2.01396
2.872,-2.01383
2.876,-2.01375
2.88,-2.01372
2.884,-2.01375
2.888,-2.01384
2.892,-2.01398
2.896,-2.01418
2.9,-2.01443
2.904,-2.01475
2.908,-2.01511
2.912,-2.01554
2.916,-2.01602
2.92,-2.01656
2.924,-2.01716
2.928,-2.01782
2.932,-2.01853
2.936,-2.0193
2.94,-2.02013
2.944,-2.02102
2.948,-2.02197
2.952,-2.02298
2.956,-2.02405
2.96,-2.02518
2.964,-2.02637
2.968,-2.02761
2.972,-2.02892
2.976,-2.03029
2.98,-2.03172
2.984,-2.03321
2.988,-2.03476
2.992,-2.03637
2.996,-2.03804
3,-2.03978
3.004,-2.04157
3.008,-2.04343
3.012,-2.04535
3.016,-2.04733
3.02,-2.04937
3.024,-2.05147
3.028,-2.05364
3.032,-2.05587
3.036,-2.05816
3.04,-2.06051
3.044,-2.06293
3.048,-2.06541
3.052,-2.06795
3.056,-2.07056
3.06,-2.07323
3.064,-2.07596
3.068,-2.07875
3.072,-2.08161
3.076,-2.08453
3.08,-2.08752
3.084,-2.09057
3.088,-2.09368
3.092,-2.09686
3.096,-2.1001
3.1,-2.1034
3.104,-2.10677
3.108,-2.1102
3.112,-2.11369
3.116,-2.11725
3.12,-2.12087
3.124,-2.12456
3.128,-2.12831
3.132,-2.13212
3.136,-2.136
3.14,-2.13994
3.144,-2.14395
3.148,-2.14802
3.152,-2.15216
3.156,-2.15635
3.16,-2.16062
3.164,-2.16494
3.168,-2.16933
3.172,-2.17379
3.176,-2.17831
3.18,-2.18289
3.184,-2.18753
3.188,-2.19224
3.192,-2.19702
3.196,-2.20185
3.2,-2.20675
3.204,-2.21172
3.208,-2.21675
3.212,-2.22184
3.216,-2.22699
3.22,-2.23221
3.224,-2.23749
3.228,-2.24283
3.232,-2.24824
3.236,-2.25371
3.24,-2.25924
3.244,-2.26484
3.248,-2.2705
3.252,-2.27622
3.256,-2.282
3.26,-2.28785
3.264,-2.29376
3.268,-2.29973
3.272,-2.30576
3.276,-2.31185
3.28,-2.31801
3.284,-2.32422
3.288,-2.3305
3.292,-2.33684
3.296,-2.34324
3.3,-2.34971
3.304,-2.35623
3.308,-2.36281
3.312,-2.36946
3.316,-2.37616
3.32,-2.38292
3.324,-2.38975
3.328,-2.39663
3.332,-2.40358
3.336,-2.41058
3.34,-2.41764
3.344,-2.42476
3.348,-2.43194
3.352,-2.43918
3.356,-2.44648
3.36,-2.45384
3.364,-2.46125
3.368,-2.46872
3.372,-2.47625
3.376,-2.48384
3.38,-2.49148
3.384,-2.49918
3.388,-2.50694
3.392,-2.51475
3.396,-2.52262
3.4,-2.53054
3.404,-2.53852
3.408,-2.54656
3.412,-2.55465
3.416,-2.5628
3.42,-2.571
3.424,-2.57925
3.428,-2.58756
3.432,-2.59593
3.436,-2.60434
3.44,-2.61281
3.444,-2.62134
3.448,-2.62991
3.452,-2.63854
3.456,-2.64722
3.46,-2.65595
3.464,-2.66473
3.468,-2.67357
3.472,-2.68245
3.476,-2.69139
3.48,-2.70037
3.484,-2.70941
3.488,-2.71849
3.492,-2.72763
3.496,-2.73681
3.5,-2.74604
3.504,-2.75532
3.508,-2.76465
3.512,-2.77403
3.516,-2.78345
3.52,-2.79292
3.524,-2.80244
3.528,-2.812
3.532,-2.82161
3.536,-2.83126
3.54,-2.84096
3.544,-2.85071
3.548,-2.86049
3.552,-2.87033
3.556,-2.8802
3.56,-2.89012
3.564,-2.90008
3.568,-2.91009
3.572,-2.92013
3.576,-2.93022
3.58,-2.94035
3.584,-2.95052
3.588,-2.96073
3.592,-2.97098
3.596,-2.98127
3.6,-2.9916
3.604,-3.00197
3.608,-3.01238
3.612,-3.02283
3.616,-3.03331
3.62,-3.04383
3.624,-3.05439
3.628,-3.06498
3.632,-3.07561
3.636,-3.08628
3.64,-3.09698
3.644,-3.10771
3.648,-3.11848
3.652,-3.12929
3.656,-3.14012
3.66,-3.151
3.664,-3.1619
3.668,-3.17283
3.672,-3.1838
3.676,-3.1948
3.68,-3.20583
3.684,-3.21689
3.688,-3.22797
3.692,-3.23909
3.696,-3.25024
3.7,-3.26142
3.704,-3.27262
3.708,-3.28385
3.712,-3.29511
3.716,-3.3064
3.72,-3.31771
3.724,-3.32905
3.728,-3.34041
3.732,-3.3518
3.736,-3.36321
3.74,-3.37464
3.744,-3.3861
3.748,-3.39758
3.752,-3.40909
3.756,-3.42062
3.76,-3.43216
3.764,-3.44373
3.768,-3.45532
3.772,-3.46693
3.776,-3.47856
3.78,-3.49021
3.784,-3.50187
3.788,-3.51356
3.792,-3.52526
3.796,-3.53698
3.8,-3.54872
3.804,-3.56047
3.808,-3.57223
3.812,-3.58402
3.816,-3.59581
3.82,-3.60763
3.824,-3.61945
3.828,-3.63129
3.832,-3.64314
3.836,-3.655
3.84,-3.66687
3.844,-3.67876
3.848,-3.69066
3.852,-3.70256
3.856,-3.71448
3.86,-3.7264
3.864,-3.73833
3.868,-3.75028
3.872,-3.76222
3.876,-3.77418
3.88,-3.78614
3.884,-3.79811
3.888,-3.81008
3.892,-3.82206
3.896,-3.83404
3.9,-3.84603
3.904,-3.85802
3.908,-3.87002
3.912,-3.88201
3.916,-3.89401
3.92,-3.90601
3.924,-3.91801
3.928,-3.93001
3.932,-3.94201
3.936,-3.95401
3.94,-3.96601
3.944,-3.978
3.948,-3.99
3.952,-4.00199
3.956,-4.01398
