h,tau,error
0.03125,0.03125,0.0689173
0.015625,0.015625,0.0549507
0.0078125,0.0078125,0.0430911
0.00390625,0.00390625,0.029292
0.00195312,0.00195312,0.0189837
0.000976562,0.000976562,0.0115489
