0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644
0.342602,0.344196,0.345734,0.347216,0.348642,0.350015,0.351333,0.352598,0.353809,0.354968,0.356076,0.357131,0.358135,0.359088,0.359991,0.360844,0.361646,0.3624,0.363104,0.363759,0.364366,0.364924,0.365433,0.365895,0.366309,0.366675,0.366994,0.367265,0.367489,0.367666,0.367796,0.367878,0.367913,0.367902,0.367843,0.367737,0.367584,0.367383,0.367136,0.366841,0.366498,0.366108,0.36567,0.365185,0.364651,0.364069,0.363438,0.362758,0.36203,0.361252,0.360424,0.359546,0.358618,0.35764,0.35661,0.355529,0.354396,0.353211,0.351972,0.350681,0.349336,0.347936
0.340993,0.342644,0.344238,0.345775,0.347257,0.348683,0.350055,0.351373,0.352637,0.353849,0.355007,0.356114,0.357169,0.358173,0.359126,0.360028,0.360881,0.361683,0.362437,0.36314,0.363795,0.364402,0.36496,0.365469,0.365931,0.366345,0.366711,0.36703,0.367301,0.367525,0.367701,0.367831,0.367913,0.367949,0.367937,0.367878,0.367772,0.367619,0.367419,0.367171,0.366877,0.366534,0.366144,0.365707,0.365221,0.364687,0.364105,0.363475,0.362795,0.362067,0.361289,0.360462,0.359584,0.358657,0.357678,0.356649,0.355568,0.354435,0.35325,0.352013,0.350722,0.349377
0.339329,0.341036,0.342686,0.34428,0.345817,0.347298,0.348724,0.350095,0.351413,0.352677,0.353888,0.355046,0.356153,0.357207,0.358211,0.359164,0.360066,0.360918,0.36172,0.362473,0.363177,0.363832,0.364438,0.364996,0.365505,0.365967,0.366381,0.366747,0.367065,0.367336,0.36756,0.367737,0.367866,0.367949,0.367984,0.367972,0.367913,0.367807,0.367655,0.367454,0.367207,0.366912,0.36657,0.36618,0.365743,0.365257,0.364724,0.364142,0.363511,0.362832,0.362104,0.361326,0.360499,0.359622,0.358695,0.357717,0.356688,0.355607,0.354475,0.35329,0.352053,0.350762
0.337607,0.339372,0.341079,0.342729,0.344322,0.345858,0.347339,0.348764,0.350135,0.351453,0.352716,0.353927,0.355085,0.356191,0.357246,0.358249,0.359201,0.360103,0.360955,0.361757,0.36251,0.363214,0.363868,0.364474,0.365032,0.365541,0.366003,0.366416,0.366782,0.367101,0.367372,0.367595,0.367772,0.367901,0.367984,0.368019,0.368007,0.367949,0.367843,0.36769,0.36749,0.367242,0.366948,0.366606,0.366216,0.365779,0.365293,0.36476,0.364178,0.363548,0.362869,0.362141,0.361364,0.360537,0.35966,0.358733,0.357755,0.356726,0.355646,0.354514,0.35333,0.352093
0.335826,0.33765,0.339415,0.341122,0.342771,0.344363,0.345899,0.34738,0.348805,0.350176,0.351492,0.352756,0.353966,0.355124,0.35623,0.357284,0.358287,0.359239,0.360141,0.360992,0.361794,0.362547,0.36325,0.363905,0.36451,0.365068,0.365577,0.366038,0.366452,0.366818,0.367136,0.367407,0.367631,0.367807,0.367937,0.368019,0.368054,0.368043,0.367984,0.367878,0.367725,0.367525,0.367278,0.366983,0.366641,0.366252,0.365815,0.365329,0.364796,0.364215,0.363585,0.362906,0.362178,0.361401,0.360574,0.359698,0.358771,0.357794,0.356765,0.355685,0.354554,0.35337
0.333988,0.335871,0.337694,0.339459,0.341165,0.342814,0.344405,0.345941,0.347421,0.348846,0.350216,0.351532,0.352795,0.354005,0.355163,0.356268,0.357322,0.358325,0.359277,0.360178,0.361029,0.361831,0.362583,0.363287,0.363941,0.364547,0.365104,0.365613,0.366074,0.366488,0.366853,0.367172,0.367443,0.367666,0.367843,0.367972,0.368054,0.36809,0.368078,0.368019,0.367914,0.367761,0.367561,0.367314,0.367019,0.366677,0.366288,0.365851,0.365366,0.364833,0.364251,0.363621,0.362943,0.362215,0.361438,0.360612,0.359736,0.358809,0.357832,0.356804,0.355724,0.354593
0.33209,0.334033,0.335915,0.337738,0.339502,0.341208,0.342856,0.344447,0.345982,0.347462,0.348886,0.350256,0.351572,0.352835,0.354044,0.355201,0.356307,0.35736,0.358363,0.359314,0.360215,0.361067,0.361868,0.36262,0.363323,0.363977,0.364583,0.36514,0.365649,0.36611,0.366523,0.366889,0.367207,0.367478,0.367702,0.367878,0.368007,0.36809,0.368125,0.368113,0.368055,0.367949,0.367796,0.367596,0.367349,0.367055,0.366713,0.366324,0.365887,0.365402,0.364869,0.364288,0.363658,0.36298,0.362252,0.361476,0.36065,0.359774,0.358847,0.35787,0.356843,0.355763
0.330132,0.332135,0.334078,0.33596,0.337782,0.339545,0.341251,0.342898,0.344489,0.346024,0.347503,0.348927,0.350296,0.351612,0.352874,0.354083,0.35524,0.356345,0.357398,0.3584,0.359352,0.360253,0.361104,0.361905,0.362657,0.36336,0.364014,0.364619,0.365176,0.365685,0.366146,0.366559,0.366924,0.367243,0.367513,0.367737,0.367913,0.368043,0.368125,0.36816,0.368149,0.36809,0.367984,0.367831,0.367632,0.367385,0.36709,0.366749,0.366359,0.365923,0.365438,0.364905,0.364324,0.363695,0.363017,0.362289,0.361513,0.360687,0.359811,0.358885,0.357909,0.356881
0.328113,0.330178,0.332181,0.334123,0.336004,0.337826,0.339589,0.341293,0.342941,0.344531,0.346065,0.347544,0.348967,0.350337,0.351652,0.352914,0.354122,0.355279,0.356384,0.357436,0.358438,0.359389,0.36029,0.361141,0.361942,0.362694,0.363396,0.36405,0.364655,0.365212,0.365721,0.366181,0.366594,0.36696,0.367278,0.367549,0.367772,0.367949,0.368078,0.36816,0.368195,0.368184,0.368125,0.36802,0.367867,0.367667,0.36742,0.367126,0.366784,0.366395,0.365959,0.365474,0.364941,0.364361,0.363731,0.363053,0.362326,0.36155,0.360725,0.359849,0.358924,0.357947
