0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.503115,0.154436,0.00225868,2.7805e-09,5.25627e-28,6.74234e-87,3.9033e-272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
0.711512,0.479292,0.132165,0.00137985,6.07048e-10,4.95273e-30,4.56254e-93,8.23009e-291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
0.871421,0.692456,0.453441,0.108023,0.000712483,7.60293e-11,7.40104e-33,7.25281e-102,3.05119e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.00623,0.855555,0.673306,0.425574,0.085116,0.000326074,6.46539e-12,3.21242e-36,2.24866e-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.125,0.992431,0.839734,0.653707,0.395567,0.0646452,0.000132839,3.79812e-13,4.34696e-40,1.75801e-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.23238,1.11263,0.978623,0.823692,0.633533,0.363531,0.0472042,4.78762e-05,1.51297e-14,1.74187e-44,2.97701e-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.33112,1.22105,1.10021,0.964657,0.807339,0.612744,0.329734,0.0330117,1.50973e-05,3.94946e-16,1.86708e-49,8.00162e-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.42302,1.32062,1.20968,1.08768,0.950487,0.790628,0.591276,0.294617,0.0220081,4.1083e-06,6.47513e-18,4.70988e-55,2.30607e-171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.50935,1.41319,1.31007,1.19823,1.075,0.936087,0.773516,0.569022,0.258802,0.0139154,9.49735e-07,6.35533e-20,2.41487e-61,4.53693e-191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.59099,1.50007,1.40332,1.29947,1.18667,1.06218,0.921441,0.75596,0.545822,0.223063,0.00829857,1.83324e-07,3.54132e-22,2.13369e-68,3.64357e-213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.66864,1.58219,1.49076,1.3934,1.28878,1.17501,1.0492,0.906537,0.737922,0.521478,0.188255,0.00463982,2.89856e-08,1.05554e-24,2.69018e-76,6.5889e-238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.74284,1.66025,1.57335,1.48141,1.38342,1.27802,1.16324,1.03605,0.891371,0.719377,0.495768,0.155224,0.00241587,3.67275e-09,1.57134e-27,3.88296e-85,1.33264e-265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.81401,1.7348,1.65182,1.56448,1.472,1.37337,1.26717,1.15135,1.02274,0.875942,0.700312,0.468474,0.12473,0.00116237,3.63513e-10,1.07782e-30,4.94644e-95,1.31926e-296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.88249,1.80628,1.72674,1.64337,1.55557,1.46255,1.36325,1.25623,1.13934,1.00926,0.860248,0.680727,0.439408,0.0973842,0.000512045,2.7265e-11,3.09779e-34,4.0974e-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.94856,1.87504,1.79853,1.71864,1.63487,1.5466,1.45303,1.35306,1.24519,1.1272,0.995598,0.844285,0.660625,0.408457,0.0736166,0.00020428,1.49554e-12,3.34079e-38,1.55287e-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.01246,1.94136,1.86757,1.79075,1.71051,1.62633,1.53759,1.44345,1.34279,1.23405,1.11493,0.981752,0.828041,0.640005,0.375624,0.0536574,7.28757e-05,5.75962e-14,1.19285e-42,1.81673e-132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
