0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,-0.6875,2.6875,-4.0625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,-0.0898438,0.894531,-5.01172,17.1367,-36.0195,43.7148,-24.6289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0.000244141,-0.00854492,0.136475,-1.31372,8.4751,-38.5112,125.941,-296.936,495.958,-561.234,390.239,-128.746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1.52588e-05,-0.000717163,0.0157623,-0.214951,2.0345,-14.1615,74.9167,-306.847,981.606,-2454.27,4761.07,-7045.85,7712.8,-5910.57,2847.31,-655.841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,9.53674e-07,-5.62668e-05,0.00157452,-0.0277796,0.346485,-3.24646,23.7006,-137.982,650.22,-2502.59,7901.67,-20473.6,43370.7,-74495.7,102304,-109856,89044,-51355.7,18844.1,-3324.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.00311345,0.0481886,-0.567436,5.281,-39.8355,247.782,-1286.18,5616.65,-20739.6,64918.2,-172288,386841,-731417,1.15564e+06,-1.50844e+06,1.59966e+06,-1.34486e+06,863529,-398406,117840,-16833.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-8.7066,67.2605,-439.187,2447.56,-11723.8,48504.4,-173876,540919,-1.46051e+06,3.41797e+06,-6.91293e+06,1.20271e+07,-1.78782e+07,2.24939e+07,-2.36456e+07,2.03966e+07,-1.40712e+07,7.47119e+06,-2.86916e+06,710190,-85221.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-4548.75,23389.9,-105558,419443,-1.47056e+06,4.55383e+06,-1.24562e+07,3.00689e+07,-6.39339e+07,1.19372e+08,-1.94866e+08,2.7649e+08,-3.38323e+08,3.53342e+08,-3.10656e+08,2.2565e+08,-1.31887e+08,5.96506e+07,-1.96065e+07,4.17059e+06,-431439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-943660,3.63408e+06,-1.25227e+07,3.86403e+07,-1.0677e+08,2.64027e+08,-5.83509e+08,1.15009e+09,-2.01561e+09,3.12865e+09,-4.27908e+09,5.12304e+09,-5.32376e+09,4.74994e+09,-3.58692e+09,2.24888e+09,-1.13965e+09,4.48724e+08,-1.28866e+08,2.40258e+07,-2.18416e+06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
